Date,Open,High,Low,Close,Volume
10/25/2023,"548.55","553.83","545.61","549.99","1,757,470"
10/24/2023,"552.10","555.99","549.33","551.84","1,678,622"
10/23/2023,"554.14","556.93","546.63","552.29","1,776,509"
10/20/2023,"566.54","566.67","552.01","552.93","2,295,445"
10/19/2023,"573.70","575.85","564.11","565.63","2,019,564"
10/18/2023,"573.92","577.30","572.00","574.64","1,311,893"
10/17/2023,"571.94","576.06","570.71","574.34","1,404,801"
10/16/2023,"569.69","574.10","568.52","572.24","1,428,517"
10/13/2023,"563.85","567.44","561.98","566.84","1,244,163"
10/12/2023,"568.05","569.14","562.38","563.78","1,457,979"
10/11/2023,"564.85","566.50","560.20","565.52","1,449,996"
10/10/2023,"559.92","566.95","557.24","562.09","2,176,975"
10/09/2023,"555.00","559.75","549.78","558.97","1,781,511"
10/06/2023,"566.09","566.95","542.63","557.53","4,246,692"
10/05/2023,"572.17","574.75","564.36","569.52","1,579,732"
10/04/2023,"569.49","572.61","563.76","571.80","1,798,756"
10/03/2023,"571.10","576.19","563.01","565.04","2,007,373"
10/02/2023,"567.91","571.74","564.00","571.31","1,831,713"
09/29/2023,"570.00","570.99","560.70","564.96","1,887,507"
09/28/2023,"564.07","572.18","564.07","568.63","2,192,427"
09/27/2023,"547.38","566.50","544.73","563.53","4,591,429"
09/26/2023,"559.15","561.37","552.00","552.96","2,425,106"
09/25/2023,"559.49","561.27","554.74","558.62","1,313,326"
09/22/2023,"555.16","562.97","554.78","558.59","1,527,941"
09/21/2023,"564.07","564.57","554.28","555.08","1,688,396"
09/20/2023,"564.35","569.22","562.66","563.83","1,312,150"
09/19/2023,"561.64","565.33","559.43","564.35","1,145,422"
09/18/2023,"558.18","564.19","557.47","562.72","1,003,221"
09/15/2023,"565.33","565.51","555.54","556.36","2,945,317"
09/14/2023,"564.81","566.70","560.25","564.77","1,257,325"
09/13/2023,"558.30","560.44","554.62","559.76","1,162,710"
09/12/2023,"559.28","560.40","556.18","558.79","1,055,620"
09/11/2023,"552.81","559.39","551.86","558.78","1,388,639"
09/08/2023,"549.07","552.38","548.10","551.19","1,077,496"
09/07/2023,"548.65","550.99","544.29","548.62","1,340,191"
09/06/2023,"541.72","548.68","540.18","546.69","1,476,602"
09/05/2023,"545.73","549.19","544.00","544.73","1,714,296"
09/01/2023,"553.07","553.48","540.64","544.25","1,437,729"
08/31/2023,"540.00","552.20","540.00","549.28","2,086,507"
08/30/2023,"542.73","544.42","539.31","542.26","1,292,815"
08/29/2023,"534.34","543.07","534.34","542.77","1,468,521"
08/28/2023,"536.00","537.04","533.12","536.19","945,776"
08/25/2023,"532.91","535.79","530.56","534.01","1,511,474"
08/24/2023,"539.29","541.00","530.82","531.71","1,587,505"
08/23/2023,"538.96","541.17","536.24","540.86","1,295,812"
08/22/2023,"541.96","541.96","537.50","538.37","1,286,150"
08/21/2023,"543.86","545.15","536.30","543.21","2,076,349"
08/18/2023,"546.92","549.47","543.11","544.94","1,878,090"
08/17/2023,"559.47","560.42","545.08","547.11","1,941,923"
08/16/2023,"561.70","564.95","558.72","559.05","1,340,290"
08/15/2023,"561.05","565.16","558.20","558.51","1,124,458"
08/14/2023,"564.77","567.71","560.44","561.47","1,247,567"
08/11/2023,"560.35","565.00","559.03","562.96","1,043,176"
08/10/2023,"563.20","569.21","560.70","561.49","1,107,233"
08/09/2023,"557.98","562.09","556.81","559.70","1,471,780"
08/08/2023,"558.00","558.90","551.84","556.12","1,020,524"
08/07/2023,"554.99","559.56","554.99","558.41","1,015,378"
08/04/2023,"561.07","561.29","551.41","552.04","1,141,952"
08/03/2023,"553.53","560.35","552.22","557.69","1,464,010"
08/02/2023,"552.26","556.63","551.02","552.35","1,636,012"
08/01/2023,"560.63","562.88","554.54","555.47","1,446,026"
07/31/2023,"563.00","564.29","559.05","560.67","1,366,148"
07/28/2023,"564.58","567.81","562.62","563.32","1,371,583"
07/27/2023,"567.72","571.16","560.60","561.83","1,485,269"
07/26/2023,"565.51","568.03","563.42","566.17","1,306,402"
07/25/2023,"566.77","567.55","564.30","565.19","1,602,739"
07/24/2023,"558.00","566.57","555.88","563.93","2,087,252"
07/21/2023,"559.17","562.05","557.45","557.86","5,264,337"
07/20/2023,"553.81","561.07","553.71","556.96","1,732,780"
07/19/2023,"554.48","555.89","552.02","554.11","1,261,093"
07/18/2023,"552.67","555.00","549.39","553.59","1,779,168"
07/17/2023,"546.18","554.21","546.10","552.96","1,910,253"
07/14/2023,"538.71","546.86","538.10","546.70","1,828,704"
