Date,Open,High,Low,Close,Volume
10/25/2023,"215.88","220.10","212.20","212.42","107,065,102"
10/24/2023,"216.50","222.05","214.11","216.52","118,231,102"
10/23/2023,"210.00","216.98","202.51","212.08","150,683,391"
10/20/2023,"217.01","218.86","210.42","211.99","138,010,094"
10/19/2023,"225.95","230.61","216.78","220.11","170,772,703"
10/18/2023,"252.70","254.63","242.08","242.68","125,147,797"
10/17/2023,"250.10","257.18","247.08","254.85","93,562,914"
10/16/2023,"250.05","255.40","248.48","253.92","88,917,188"
10/13/2023,"258.90","259.60","250.22","251.12","102,296,797"
10/12/2023,"262.92","265.41","256.63","258.87","111,508,094"
10/11/2023,"266.20","268.60","260.90","262.99","103,706,305"
10/10/2023,"257.75","268.94","257.65","263.62","122,656,000"
10/09/2023,"255.31","261.36","252.05","259.67","101,377,906"
10/06/2023,"253.98","261.65","250.65","260.53","118,121,797"
10/05/2023,"260.00","263.60","256.25","260.05","119,159,203"
10/04/2023,"248.14","261.86","247.60","261.16","129,721,602"
10/03/2023,"248.61","250.02","244.45","246.53","101,985,297"
10/02/2023,"244.81","254.28","242.62","251.60","123,810,398"
09/29/2023,"250.00","254.77","246.35","250.22","128,522,703"
09/28/2023,"240.02","247.55","238.65","246.38","117,058,898"
09/27/2023,"244.26","245.33","234.58","240.50","136,597,203"
09/26/2023,"242.98","249.55","241.66","244.12","101,993,602"
09/25/2023,"243.38","247.10","238.31","246.99","104,636,602"
09/22/2023,"257.40","257.79","244.48","244.88","127,524,094"
09/21/2023,"257.85","260.86","254.21","255.70","119,951,508"
09/20/2023,"267.04","273.93","262.46","262.59","122,514,602"
09/19/2023,"264.35","267.85","261.20","266.50","103,704,000"
09/18/2023,"271.16","271.44","263.76","265.28","101,543,297"
09/15/2023,"277.55","278.98","271.00","274.39","133,692,297"
09/14/2023,"271.32","276.71","270.42","276.04","107,709,797"
09/13/2023,"270.07","274.98","268.10","271.30","111,673,695"
09/12/2023,"270.76","278.39","266.60","267.48","135,999,906"
09/11/2023,"264.27","274.85","260.61","273.58","174,667,906"
09/08/2023,"251.22","256.52","246.67","248.50","118,559,602"
09/07/2023,"245.07","252.81","243.27","251.49","115,312,898"
09/06/2023,"255.14","255.39","245.06","251.92","116,959,797"
09/05/2023,"245.00","258.00","244.86","256.49","129,469,602"
09/01/2023,"257.26","259.08","242.01","245.01","132,541,594"
08/31/2023,"255.98","261.18","255.05","258.08","108,861,695"
08/30/2023,"254.20","260.51","250.59","256.90","121,988,398"
08/29/2023,"238.58","257.48","237.77","257.18","134,047,594"
08/28/2023,"242.58","244.38","235.35","238.82","107,673,695"
